EventID,TimeCreated,TargetUserName,IpAddress,ServiceName,TicketEncryptionType
4625,2026-09-03 10:31:12,ivanov,10.0.30.55,,
4625,2026-09-03 10:31:12,petrov,10.0.30.55,,
4625,2026-09-03 10:31:12,sidorov,10.0.30.55,,
4625,2026-09-03 10:31:12,smirnov,10.0.30.55,,
4625,2026-09-03 10:31:12,kuznecov,10.0.30.55,,
4625,2026-09-03 10:31:12,popov,10.0.30.55,,
4625,2026-09-03 11:05:41,admin_temp,10.0.30.77,,
4625,2026-09-03 11:05:40,admin_temp,10.0.30.77,,
4625,2026-09-03 11:05:44,admin_temp,10.0.30.77,,
4625,2026-09-03 11:05:43,admin_temp,10.0.30.77,,
4625,2026-09-03 11:05:43,admin_temp,10.0.30.77,,
4625,2026-09-03 11:05:42,admin_temp,10.0.30.77,,
4625,2026-09-03 11:05:41,admin_temp,10.0.30.77,,
4625,2026-09-03 11:05:48,admin_temp,10.0.30.77,,
4625,2026-09-03 11:05:41,admin_temp,10.0.30.77,,
4625,2026-09-03 11:05:49,admin_temp,10.0.30.77,,
4625,2026-09-03 11:05:46,admin_temp,10.0.30.77,,
4625,2026-09-03 11:05:40,admin_temp,10.0.30.77,,
4625,2026-09-03 09:00:11,student,10.0.30.11,,
4769,2026-09-03 12:00:05,student,10.0.30.11,MSSQLSvc/dc01.lab.local,0x17
4769,2026-09-03 12:00:06,student,10.0.30.11,HTTP/web01.lab.local,0x17
4769,2026-09-03 12:05:00,alice,10.0.30.12,krbtgt/LAB.LOCAL,0x12
